,Month,Year,Country,Fatal (Y/N),Hemisphere,Season
2752,Jan,1988,SOUTH AFRICA,UNKNOWN,S,SUMMER
2753,Jan,1988,AUSTRALIA,UNKNOWN,S,SUMMER
2754,Jan,1988,USA,N,N,WINTER
2755,Jan,1988,SOUTH AFRICA,N,S,SUMMER
2756,Jan,1988,SOUTH AFRICA,N,S,SUMMER
2759,Dec,1987,USA,N,N,FALL
2760,Dec,1987,AUSTRALIA,UNKNOWN,S,SPRING
2761,Nov,1987,USA,N,N,FALL
2762,Nov,1987,SOUTH AFRICA,UNKNOWN,S,SPRING
2763,Oct,1987,USA,N,N,FALL
2764,Oct,1987,SOUTH AFRICA,UNKNOWN,S,SPRING
2765,Oct,1987,SOUTH AFRICA,N,S,SPRING
2767,Sep,1987,AUSTRALIA,Y,S,WINTER
2768,Sep,1987,SOUTH AFRICA,N,S,WINTER
2769,Aug,1987,USA,N,N,SUMMER
2770,Aug,1987,USA,N,N,SUMMER
2771,Jul,1987,USA,N,N,SUMMER
2772,Jul,1987,USA,N,N,SUMMER
2773,Jul,1987,USA,N,N,SUMMER
2774,Jul,1987,USA,N,N,SUMMER
2777,Jun,1987,USA,N,N,SPRING
2778,May,1987,USA,N,N,SPRING
2779,May,1987,USA,N,N,SPRING
2780,May,1987,AUSTRALIA,N,S,FALL
2781,Apr,1987,SOUTH AFRICA,UNKNOWN,S,FALL
2782,Apr,1987,USA,N,N,SPRING
2783,Apr,1987,USA,Y,N,SPRING
2785,Mar,1987,AUSTRALIA,N,S,SUMMER
2786,Mar,1987,SOUTH AFRICA,N,S,SUMMER
2787,Feb,1987,USA,N,N,WINTER
2789,Jan,1987,SOUTH AFRICA,N,S,SUMMER
2790,Jan,1987,AUSTRALIA,N,S,SUMMER
2793,Dec,1986,SOUTH AFRICA,N,S,SPRING
2794,Dec,1986,SOUTH AFRICA,Y,S,SPRING
2795,Dec,1986,USA,N,N,FALL
2797,Dec,1986,USA,N,N,FALL
2798,Dec,1986,SOUTH AFRICA,UNKNOWN,S,SPRING
2800,Nov,1986,USA,N,N,FALL
2801,Nov,1986,USA,N,N,FALL
2802,Nov,1986,USA,N,N,FALL
2803,Oct,1986,SOUTH AFRICA,N,S,SPRING
2804,Oct,1986,USA,N,N,FALL
2805,Oct,1986,SOUTH AFRICA,N,S,SPRING
2806,Oct,1986,AUSTRALIA,UNKNOWN,S,SPRING
2807,Oct,1986,USA,N,N,FALL
2808,Sep,1986,USA,UNKNOWN,N,SUMMER
2809,Sep,1986,USA,N,N,SUMMER
2810,Sep,1986,USA,N,N,SUMMER
2811,Aug,1986,USA,N,N,SUMMER
2812,Aug,1986,SOUTH AFRICA,UNKNOWN,S,WINTER
2813,Aug,1986,AUSTRALIA,N,S,WINTER
2815,Jul,1986,AUSTRALIA,N,S,WINTER
2816,Jul,1986,USA,N,N,SUMMER
2817,Jul,1986,SOUTH AFRICA,N,S,WINTER
2818,May,1986,AUSTRALIA,N,S,FALL
2820,Apr,1986,USA,Y,N,SPRING
2823,Mar,1986,SOUTH AFRICA,N,S,SUMMER
2824,Mar,1986,SOUTH AFRICA,N,S,SUMMER
2825,Feb,1986,SOUTH AFRICA,N,S,SUMMER
2826,Feb,1986,SOUTH AFRICA,N,S,SUMMER
2827,Feb,1986,SOUTH AFRICA,N,S,SUMMER
2828,Feb,1986,SOUTH AFRICA,N,S,SUMMER
2829,Feb,1986,AUSTRALIA,N,S,SUMMER
2830,Jan,1986,USA,N,N,WINTER
2832,Dec,1985,SOUTH AFRICA,N,S,SPRING
2833,Dec,1985,USA,N,N,FALL
2834,Nov,1985,AUSTRALIA,N,S,SPRING
2835,Nov,1985,USA,N,N,FALL
2836,Nov,1985,USA,N,N,FALL
2837,Oct,1985,SOUTH AFRICA,N,S,SPRING
2838,Oct,1985,USA,N,N,FALL
2839,Oct,1985,USA,N,N,FALL
2840,Oct,1985,USA,N,N,FALL
2841,Oct,1985,USA,N,N,FALL
2842,Sep,1985,USA,N,N,SUMMER
2843,Sep,1985,SOUTH AFRICA,UNKNOWN,S,WINTER
2844,Sep,1985,USA,N,N,SUMMER
2845,Sep,1985,USA,UNKNOWN,N,SUMMER
2846,Aug,1985,USA,N,N,SUMMER
2847,Aug,1985,USA,UNKNOWN,N,SUMMER
2848,Aug,1985,USA,UNKNOWN,N,SUMMER
2849,Jul,1985,USA,N,N,SUMMER
2850,Jul,1985,USA,N,N,SUMMER
2851,Jul,1985,USA,N,N,SUMMER
2852,Jul,1985,USA,N,N,SUMMER
2854,May,1985,USA,N,N,SPRING
2855,May,1985,SOUTH AFRICA,N,S,FALL
2856,Mar,1985,USA,N,N,WINTER
2857,Mar,1985,AUSTRALIA,Y,S,SUMMER
2858,Feb,1985,USA,N,N,WINTER
2859,Feb,1985,USA,N,N,WINTER
2860,Jan,1985,SOUTH AFRICA,N,S,SUMMER
2861,Jan,1985,SOUTH AFRICA,UNKNOWN,S,SUMMER
2862,Jan,1985,SOUTH AFRICA,N,S,SUMMER
2863,Jan,1985,NEW ZEALAND,N,S,SUMMER
2864,Jan,1985,SOUTH AFRICA,N,S,SUMMER
2866,Jan,1985,SOUTH AFRICA,N,S,SUMMER
2870,Nov,1984,AUSTRALIA,Y,S,SPRING
2871,Nov,1984,USA,N,N,FALL
2872,Nov,1984,USA,N,N,FALL
2873,Oct,1984,USA,UNKNOWN,N,FALL
2874,Oct,1984,USA,N,N,FALL
2875,Oct,1984,USA,UNKNOWN,N,FALL
2876,Oct,1984,USA,N,N,FALL
2877,Sep,1984,USA,N,N,SUMMER
2878,Sep,1984,USA,N,N,SUMMER
2879,Sep,1984,USA,N,N,SUMMER
2880,Sep,1984,USA,N,N,SUMMER
2881,Sep,1984,USA,N,N,SUMMER
2882,Sep,1984,USA,UNKNOWN,N,SUMMER
2883,Sep,1984,USA,N,N,SUMMER
2884,Sep,1984,USA,Y,N,SUMMER
2886,Aug,1984,USA,UNKNOWN,N,SUMMER
2888,Jul,1984,USA,N,N,SUMMER
2889,Jul,1984,USA,N,N,SUMMER
2890,Jul,1984,SOUTH AFRICA,UNKNOWN,S,WINTER
2891,Jul,1984,USA,N,N,SUMMER
2892,Jul,1984,SOUTH AFRICA,N,S,WINTER
2893,Jun,1984,SOUTH AFRICA,N,S,FALL
2894,Jun,1984,USA,N,N,SPRING
2896,May,1984,SOUTH AFRICA,N,S,FALL
2898,Mar,1984,SOUTH AFRICA,N,S,SUMMER
2899,Mar,1984,SOUTH AFRICA,N,S,SUMMER
2900,Mar,1984,AUSTRALIA,UNKNOWN,S,SUMMER
2901,Feb,1984,SOUTH AFRICA,N,S,SUMMER
2902,Feb,1984,SOUTH AFRICA,N,S,SUMMER
2903,Feb,1984,SOUTH AFRICA,UNKNOWN,S,SUMMER
2904,Feb,1984,AUSTRALIA,N,S,SUMMER
2905,Jan,1984,SOUTH AFRICA,N,S,SUMMER
2906,Jan,1984,SOUTH AFRICA,Y,S,SUMMER
2910,Dec,1983,USA,N,N,FALL
2911,Dec,1983,AUSTRALIA,N,S,SPRING
2912,Dec,1983,SOUTH AFRICA,N,S,SPRING
2913,Dec,1983,SOUTH AFRICA,N,S,SPRING
2914,Dec,1983,SOUTH AFRICA,UNKNOWN,S,SPRING
2916,Nov,1983,USA,N,N,FALL
2917,Nov,1983,SOUTH AFRICA,UNKNOWN,S,SPRING
2918,Oct,1983,USA,N,N,FALL
2919,Oct,1983,USA,N,N,FALL
2920,Sep,1983,USA,N,N,SUMMER
2921,Aug,1983,USA,N,N,SUMMER
2922,Aug,1983,SOUTH AFRICA,N,S,WINTER
2923,Aug,1983,USA,N,N,SUMMER
2924,Aug,1983,USA,N,N,SUMMER
2925,Aug,1983,USA,N,N,SUMMER
2926,Aug,1983,USA,N,N,SUMMER
2927,Jul,1983,AUSTRALIA,Y,S,WINTER
2928,Jul,1983,AUSTRALIA,Y,S,WINTER
2929,Jul,1983,AUSTRALIA,N,S,WINTER
2930,Jul,1983,SOUTH AFRICA,N,S,WINTER
2931,Jul,1983,USA,N,N,SUMMER
2933,Jul,1983,USA,N,N,SUMMER
2934,Jun,1983,USA,N,N,SPRING
2936,Jun,1983,USA,N,N,SPRING
2940,May,1983,USA,N,N,SPRING
2941,May,1983,USA,N,N,SPRING
2942,May,1983,USA,N,N,SPRING
2943,Apr,1983,USA,UNKNOWN,N,SPRING
2944,Apr,1983,SOUTH AFRICA,N,S,FALL
2945,Apr,1983,USA,N,N,SPRING
2946,Apr,1983,SOUTH AFRICA,UNKNOWN,S,FALL
2947,Mar,1983,SOUTH AFRICA,N,S,SUMMER
2948,Mar,1983,SOUTH AFRICA,N,S,SUMMER
2949,Mar,1983,USA,N,N,WINTER
2951,Feb,1983,SOUTH AFRICA,N,S,SUMMER
2952,Jan,1983,USA,N,N,WINTER
2953,Jan,1983,SOUTH AFRICA,UNKNOWN,S,SUMMER
2954,Jan,1983,SOUTH AFRICA,N,S,SUMMER
2955,Jan,1983,SOUTH AFRICA,N,S,SUMMER
2959,Nov,1982,USA,N,N,FALL
2960,Oct,1982,USA,N,N,FALL
2961,Sep,1982,SOUTH AFRICA,N,S,WINTER
2962,Sep,1982,SOUTH AFRICA,N,S,WINTER
2963,Sep,1982,USA,N,N,SUMMER
2964,Sep,1982,USA,N,N,SUMMER
2965,Sep,1982,USA,N,N,SUMMER
2966,Sep,1982,USA,UNKNOWN,N,SUMMER
2968,Aug,1982,USA,UNKNOWN,N,SUMMER
2969,Aug,1982,SOUTH AFRICA,N,S,WINTER
2971,Jul,1982,SOUTH AFRICA,UNKNOWN,S,WINTER
2972,Jul,1982,SOUTH AFRICA,N,S,WINTER
2973,Jul,1982,USA,N,N,SUMMER
2974,Jul,1982,USA,N,N,SUMMER
2975,Jul,1982,USA,UNKNOWN,N,SUMMER
2976,Jul,1982,USA,N,N,SUMMER
2978,Jun,1982,SOUTH AFRICA,Y,S,FALL
2979,Jun,1982,USA,N,N,SPRING
2981,Jun,1982,USA,N,N,SPRING
2982,Jun,1982,USA,N,N,SPRING
2983,May,1982,USA,UNKNOWN,N,SPRING
2984,Mar,1982,USA,N,N,WINTER
2985,Mar,1982,AUSTRALIA,Y,S,SUMMER
2987,Feb,1982,AUSTRALIA,Y,S,SUMMER
2988,Feb,1982,USA,N,N,WINTER
2989,Feb,1982,SOUTH AFRICA,N,S,SUMMER
2990,Feb,1982,USA,N,N,WINTER
2991,Feb,1982,USA,N,N,WINTER
2992,Feb,1982,USA,Y,N,WINTER
2993,Feb,1982,USA,N,N,WINTER
2994,Feb,1982,USA,Y,N,WINTER
2995,Jan,1982,SOUTH AFRICA,N,S,SUMMER
2999,Dec,1981,USA,Y,N,FALL
3000,Dec,1981,AUSTRALIA,N,S,SPRING
3001,Dec,1981,USA,N,N,FALL
3003,Oct,1981,SOUTH AFRICA,N,S,SPRING
3004,Nov,1981,USA,N,N,FALL
3005,Oct,1981,USA,N,N,FALL
3006,Oct,1981,USA,UNKNOWN,N,FALL
3007,Oct,1981,USA,N,N,FALL
3008,Oct,1981,USA,N,N,FALL
3009,Sep,1981,USA,N,N,SUMMER
3010,Sep,1981,USA,N,N,SUMMER
3011,Sep,1981,USA,Y,N,SUMMER
3012,Sep,1981,USA,N,N,SUMMER
3013,Sep,1981,USA,N,N,SUMMER
3014,Aug,1981,USA,N,N,SUMMER
3015,Aug,1981,USA,N,N,SUMMER
3016,Aug,1981,USA,UNKNOWN,N,SUMMER
3017,Aug,1981,USA,N,N,SUMMER
3018,Aug,1981,USA,Y,N,SUMMER
3020,Jul,1981,USA,N,N,SUMMER
3021,Jul,1981,SOUTH AFRICA,N,S,WINTER
3022,Jul,1981,USA,N,N,SUMMER
3023,Jul,1981,SOUTH AFRICA,N,S,WINTER
3025,Jun,1981,USA,UNKNOWN,N,SPRING
3026,May,1981,USA,Y,N,SPRING
3028,May,1981,SOUTH AFRICA,N,S,FALL
3029,May,1981,USA,N,N,SPRING
3030,May,1981,USA,N,N,SPRING
3031,May,1981,SOUTH AFRICA,N,S,FALL
3034,May,1981,SOUTH AFRICA,N,S,FALL
3035,Mar,1981,USA,N,N,WINTER
3036,Mar,1981,USA,N,N,WINTER
3038,Mar,1981,BRAZIL,UNKNOWN,S,SUMMER
3039,Feb,1981,SOUTH AFRICA,N,S,SUMMER
3040,Feb,1981,AUSTRALIA,N,S,SUMMER
3041,Feb,1981,AUSTRALIA,UNKNOWN,S,SUMMER
3042,Feb,1981,USA,N,N,WINTER
3043,Feb,1981,BRAZIL,N,S,SUMMER
3044,Jan,1981,USA,N,N,WINTER
3045,Jan,1981,SOUTH AFRICA,UNKNOWN,S,SUMMER
3049,Dec,1980,SOUTH AFRICA,UNKNOWN,S,SPRING
3051,Nov,1980,AUSTRALIA,N,S,SPRING
3052,Nov,1980,SOUTH AFRICA,UNKNOWN,S,SPRING
3053,Nov,1980,BRAZIL,Y,S,SPRING
3054,Oct,1980,USA,N,N,FALL
3055,Oct,1980,USA,N,N,FALL
3057,Aug,1980,USA,N,N,SUMMER
3058,Aug,1980,USA,N,N,SUMMER
3060,Jul,1980,USA,N,N,SUMMER
3061,Jul,1980,USA,N,N,SUMMER
3062,Jul,1980,USA,N,N,SUMMER
3063,Jul,1980,USA,N,N,SUMMER
3064,Jun,1980,USA,N,N,SPRING
3065,May,1980,SOUTH AFRICA,N,S,FALL
3069,Mar,1980,SOUTH AFRICA,Y,S,SUMMER
3070,Mar,1980,BRAZIL,N,S,SUMMER
3072,Mar,1980,SOUTH AFRICA,N,S,SUMMER
3073,Jan,1980,SOUTH AFRICA,N,S,SUMMER
3075,Jan,1980,SOUTH AFRICA,N,S,SUMMER
3076,Jan,1980,SOUTH AFRICA,N,S,SUMMER
3077,Jan,1980,SOUTH AFRICA,N,S,SUMMER
3083,Dec,1979,SOUTH AFRICA,N,S,SPRING
3086,Nov,1979,USA,N,N,FALL
3087,Nov,1979,SOUTH AFRICA,N,S,SPRING
3088,Oct,1979,SOUTH AFRICA,N,S,SPRING
3089,Sep,1979,AUSTRALIA,N,S,WINTER
3092,Aug,1979,USA,N,N,SUMMER
3094,Jun,1979,USA,N,N,SPRING
3095,May,1979,USA,UNKNOWN,N,SPRING
3096,May,1979,SOUTH AFRICA,N,S,FALL
3097,May,1979,SOUTH AFRICA,Y,S,FALL
3100,Apr,1979,USA,N,N,SPRING
3101,Apr,1979,USA,N,N,SPRING
3102,Mar,1979,USA,N,N,WINTER
3103,Mar,1979,USA,N,N,WINTER
3104,Mar,1979,SOUTH AFRICA,N,S,SUMMER
3106,Feb,1979,SOUTH AFRICA,N,S,SUMMER
3108,Dec,1978,AUSTRALIA,N,S,SPRING
3109,Dec,1978,SOUTH AFRICA,Y,S,SPRING
3110,Nov,1978,USA,N,N,FALL
3111,Nov,1978,USA,N,N,FALL
3112,Oct,1978,SOUTH AFRICA,UNKNOWN,S,SPRING
3113,Sep,1978,SOUTH AFRICA,N,S,WINTER
3115,Sep,1978,AUSTRALIA,N,S,WINTER
3116,Aug,1978,USA,N,N,SUMMER
3117,Aug,1978,USA,N,N,SUMMER
3118,Jul,1978,USA,N,N,SUMMER
3119,Jul,1978,USA,N,N,SUMMER
3120,Jun,1978,USA,N,N,SPRING
3121,Jun,1978,USA,N,N,SPRING
3125,Apr,1978,AUSTRALIA,N,S,FALL
3126,Mar,1978,SOUTH AFRICA,N,S,SUMMER
3127,Feb,1978,SOUTH AFRICA,N,S,SUMMER
3128,Feb,1978,SOUTH AFRICA,N,S,SUMMER
3129,Jan,1978,SOUTH AFRICA,N,S,SUMMER
3130,Jan,1978,SOUTH AFRICA,UNKNOWN,S,SUMMER
3133,Dec,1977,USA,N,N,FALL
3134,Dec,1977,USA,N,N,FALL
3135,Dec,1977,SOUTH AFRICA,N,S,SPRING
3136,Dec,1977,SOUTH AFRICA,N,S,SPRING
3137,Nov,1977,SOUTH AFRICA,N,S,SPRING
3138,Oct,1977,SOUTH AFRICA,N,S,SPRING
3139,Aug,1977,AUSTRALIA,N,S,WINTER
3140,Aug,1977,AUSTRALIA,Y,S,WINTER
3141,Aug,1977,SOUTH AFRICA,N,S,WINTER
3142,Aug,1977,USA,N,N,SUMMER
3143,Aug,1977,USA,UNKNOWN,N,SUMMER
3144,Jul,1977,USA,N,N,SUMMER
3145,Jun,1977,USA,N,N,SPRING
3146,Jun,1977,USA,N,N,SPRING
3147,May,1977,SOUTH AFRICA,N,S,FALL
3148,May,1977,AUSTRALIA,UNKNOWN,S,FALL
3149,Apr,1977,AUSTRALIA,N,S,FALL
3150,Apr,1977,USA,N,N,SPRING
3151,Mar,1977,SOUTH AFRICA,N,S,SUMMER
3152,Mar,1977,AUSTRALIA,N,S,SUMMER
3153,Mar,1977,AUSTRALIA,Y,S,SUMMER
3154,Mar,1977,AUSTRALIA,Y,S,SUMMER
3155,Feb,1977,AUSTRALIA,N,S,SUMMER
3156,Feb,1977,AUSTRALIA,UNKNOWN,S,SUMMER
3159,Dec,1976,AUSTRALIA,N,S,SPRING
3160,Dec,1976,USA,N,N,FALL
3161,Nov,1976,SOUTH AFRICA,N,S,SPRING
3162,Nov,1976,AUSTRALIA,UNKNOWN,S,SPRING
3163,Nov,1976,USA,N,N,FALL
3164,Nov,1976,SOUTH AFRICA,UNKNOWN,S,SPRING
3165,Nov,1976,SOUTH AFRICA,N,S,SPRING
3166,Oct,1976,SOUTH AFRICA,N,S,SPRING
3167,Oct,1976,USA,N,N,FALL
3168,Oct,1976,SOUTH AFRICA,N,S,SPRING
3170,Sep,1976,AUSTRALIA,N,S,WINTER
3172,Sep,1976,USA,Y,N,SUMMER
3173,Sep,1976,USA,Y,N,SUMMER
3174,Sep,1976,USA,N,N,SUMMER
3175,Aug,1976,USA,N,N,SUMMER
3176,Aug,1976,USA,N,N,SUMMER
3177,Jul,1976,USA,N,N,SUMMER
3178,Jul,1976,USA,N,N,SUMMER
3179,Jul,1976,USA,Y,N,SUMMER
3180,Jul,1976,USA,N,N,SUMMER
3181,Jun,1976,USA,N,N,SPRING
3182,Jun,1976,USA,N,N,SPRING
3184,Jun,1976,AUSTRALIA,N,S,FALL
3185,May,1976,SOUTH AFRICA,N,S,FALL
3186,Apr,1976,USA,UNKNOWN,N,SPRING
3187,Mar,1976,USA,N,N,WINTER
3188,Mar,1976,SOUTH AFRICA,N,S,SUMMER
3189,Mar,1976,SOUTH AFRICA,N,S,SUMMER
3190,Mar,1976,SOUTH AFRICA,N,S,SUMMER
3191,Feb,1976,SOUTH AFRICA,N,S,SUMMER
3192,Jan,1976,SOUTH AFRICA,N,S,SUMMER
3193,Jan,1976,AUSTRALIA,N,S,SUMMER
3194,Jan,1976,SOUTH AFRICA,N,S,SUMMER
3195,Jan,1976,USA,N,N,WINTER
3196,Jan,1976,NEW ZEALAND,Y,S,SUMMER
3198,Dec,1975,AUSTRALIA,N,S,SPRING
3199,Dec,1975,USA,N,N,FALL
3200,Dec,1975,AUSTRALIA,N,S,SPRING
3201,Nov,1975,AUSTRALIA,N,S,SPRING
3202,Nov,1975,SOUTH AFRICA,N,S,SPRING
3203,Nov,1975,AUSTRALIA,N,S,SPRING
3204,Nov,1975,USA,N,N,FALL
3205,Oct,1975,USA,UNKNOWN,N,FALL
3206,Oct,1975,AUSTRALIA,N,S,SPRING
3207,Oct,1975,USA,UNKNOWN,N,FALL
3208,Sep,1975,SOUTH AFRICA,N,S,WINTER
3209,Aug,1975,SOUTH AFRICA,N,S,WINTER
3210,Aug,1975,USA,N,N,SUMMER
3211,Aug,1975,USA,N,N,SUMMER
3213,Jul,1975,USA,Y,N,SUMMER
3214,Jul,1975,AUSTRALIA,Y,S,WINTER
3215,Jul,1975,USA,N,N,SUMMER
3216,Jul,1975,AUSTRALIA,N,S,WINTER
3217,Jul,1975,USA,N,N,SUMMER
3218,Jul,1975,USA,N,N,SUMMER
3219,Jul,1975,USA,N,N,SUMMER
3220,Jul,1975,AUSTRALIA,N,S,WINTER
3221,Jul,1975,USA,N,N,SUMMER
3222,Jun,1975,USA,N,N,SPRING
3223,Jun,1975,USA,N,N,SPRING
3224,Jun,1975,USA,N,N,SPRING
3225,Jun,1975,USA,N,N,SPRING
3226,Jun,1975,USA,N,N,SPRING
3227,May,1975,USA,N,N,SPRING
3228,May,1975,USA,N,N,SPRING
3230,Apr,1975,SOUTH AFRICA,UNKNOWN,S,FALL
3231,Apr,1975,SOUTH AFRICA,N,S,FALL
3232,Mar,1975,SOUTH AFRICA,UNKNOWN,S,SUMMER
3233,Mar,1975,AUSTRALIA,N,S,SUMMER
3234,Mar,1975,USA,N,N,WINTER
3235,Mar,1975,AUSTRALIA,N,S,SUMMER
3236,Mar,1975,SOUTH AFRICA,N,S,SUMMER
3238,Feb,1975,SOUTH AFRICA,N,S,SUMMER
3239,Feb,1975,SOUTH AFRICA,N,S,SUMMER
3240,Feb,1975,AUSTRALIA,Y,S,SUMMER
3241,Feb,1975,AUSTRALIA,N,S,SUMMER
3242,Feb,1975,AUSTRALIA,N,S,SUMMER
3243,Feb,1975,SOUTH AFRICA,N,S,SUMMER
3244,Jan,1975,AUSTRALIA,Y,S,SUMMER
3247,Dec,1974,AUSTRALIA,N,S,SPRING
3248,Nov,1974,USA,N,N,FALL
3249,Sep,1974,USA,N,N,SUMMER
3250,Sep,1974,USA,N,N,SUMMER
3252,Sep,1974,USA,N,N,SUMMER
3253,Sep,1974,USA,N,N,SUMMER
3254,Sep,1974,AUSTRALIA,N,S,WINTER
3255,Sep,1974,USA,N,N,SUMMER
3261,Aug,1974,USA,N,N,SUMMER
3262,Jul,1974,USA,N,N,SUMMER
3263,Jul,1974,USA,Y,N,SUMMER
3264,Jul,1974,USA,Y,N,SUMMER
3265,Jun,1974,USA,N,N,SPRING
3266,May,1974,USA,N,N,SPRING
3267,Apr,1974,BRAZIL,Y,S,FALL
3268,Apr,1974,SOUTH AFRICA,N,S,FALL
3269,Apr,1974,SOUTH AFRICA,N,S,FALL
3270,Apr,1974,USA,N,N,SPRING
3271,Apr,1974,SOUTH AFRICA,N,S,FALL
3272,Mar,1974,SOUTH AFRICA,N,S,SUMMER
3273,Mar,1974,SOUTH AFRICA,N,S,SUMMER
3274,Feb,1974,SOUTH AFRICA,N,S,SUMMER
3275,Feb,1974,SOUTH AFRICA,N,S,SUMMER
3276,Feb,1974,SOUTH AFRICA,N,S,SUMMER
3277,Feb,1974,SOUTH AFRICA,N,S,SUMMER
3278,Jan,1974,SOUTH AFRICA,N,S,SUMMER
3279,Jan,1974,AUSTRALIA,Y,S,SUMMER
3280,Jan,1974,SOUTH AFRICA,N,S,SUMMER
3288,Dec,1973,USA,N,N,FALL
3290,Nov,1973,AUSTRALIA,N,S,SPRING
3291,Nov,1973,USA,N,N,FALL
3292,Nov,1973,AUSTRALIA,N,S,SPRING
3293,Sep,1973,SOUTH AFRICA,Y,S,WINTER
3298,Aug,1973,AUSTRALIA,UNKNOWN,S,WINTER
3299,Aug,1973,AUSTRALIA,N,S,WINTER
3300,Aug,1973,USA,N,N,SUMMER
3303,Mar,1973,AUSTRALIA,N,S,SUMMER
3305,Mar,1973,SOUTH AFRICA,N,S,SUMMER
3307,Jan,1973,SOUTH AFRICA,N,S,SUMMER
3308,Jan,1973,USA,N,N,WINTER
3312,Dec,1972,SOUTH AFRICA,N,S,SPRING
3315,Dec,1972,SOUTH AFRICA,N,S,SPRING
3316,Dec,1972,AUSTRALIA,N,S,SPRING
3317,Dec,1972,AUSTRALIA,N,S,SPRING
3319,Oct,1972,AUSTRALIA,N,S,SPRING
3320,Oct,1972,AUSTRALIA,N,S,SPRING
3321,Oct,1972,USA,Y,N,FALL
3322,Oct,1972,USA,N,N,FALL
3323,Oct,1972,NEW ZEALAND,N,S,SPRING
3324,Sep,1972,USA,N,N,SUMMER
3326,Aug,1972,USA,N,N,SUMMER
3327,Aug,1972,USA,N,N,SUMMER
3328,Aug,1972,AUSTRALIA,N,S,WINTER
3329,Jul,1972,USA,UNKNOWN,N,SUMMER
3330,Jun,1972,AUSTRALIA,Y,S,FALL
3331,Jun,1972,AUSTRALIA,Y,S,FALL
3332,Jun,1972,USA,N,N,SPRING
3333,May,1972,USA,N,N,SPRING
3336,Apr,1972,AUSTRALIA,N,S,FALL
3339,Mar,1972,USA,N,N,WINTER
3340,Feb,1972,AUSTRALIA,N,S,SUMMER
3341,Feb,1972,AUSTRALIA,N,S,SUMMER
3342,Jan,1972,SOUTH AFRICA,Y,S,SUMMER
3343,Jan,1971,SOUTH AFRICA,N,S,SUMMER
3347,Dec,1971,AUSTRALIA,N,S,SPRING
3348,Dec,1971,SOUTH AFRICA,N,S,SPRING
3349,Dec,1971,AUSTRALIA,Y,S,SPRING
3351,Oct,1971,AUSTRALIA,N,S,SPRING
3352,Oct,1971,USA,N,N,FALL
3353,Oct,1971,SOUTH AFRICA,N,S,SPRING
3354,Oct,1971,USA,N,N,FALL
3355,Sep,1971,USA,N,N,SUMMER
3357,Sep,1971,AUSTRALIA,Y,S,WINTER
3358,Aug,1971,AUSTRALIA,N,S,WINTER
3359,Jul,1971,USA,N,N,SUMMER
3360,Jul,1971,USA,N,N,SUMMER
3361,Jun,1971,SOUTH AFRICA,N,S,FALL
3364,Apr,1971,SOUTH AFRICA,Y,S,FALL
3369,Mar,1971,NEW ZEALAND,N,S,SUMMER
3370,Jan,1971,AUSTRALIA,N,S,SUMMER
3377,Dec,1970,USA,N,N,FALL
3379,Oct,1970,USA,N,N,FALL
3380,Oct,1970,USA,N,N,FALL
3383,Sep,1970,USA,N,N,SUMMER
3384,Sep,1970,AUSTRALIA,N,S,WINTER
3385,Sep,1970,USA,N,N,SUMMER
3386,Sep,1970,USA,N,N,SUMMER
3389,Jun,1970,USA,N,N,SPRING
3390,Jun,1970,SOUTH AFRICA,N,S,FALL
3397,Mar,1970,USA,UNKNOWN,N,WINTER
3398,Mar,1970,USA,N,N,WINTER
3416,Nov,1969,AUSTRALIA,N,S,SPRING
3417,Nov,1969,USA,N,N,FALL
3418,Nov,1969,AUSTRALIA,N,S,SPRING
3419,Oct,1969,USA,N,N,FALL
3420,Sep,1969,USA,N,N,SUMMER
3421,Aug,1969,USA,N,N,SUMMER
3422,Aug,1969,USA,N,N,SUMMER
3423,Aug,1969,USA,N,N,SUMMER
3424,Aug,1969,USA,N,N,SUMMER
3427,Jul,1969,USA,N,N,SUMMER
3428,Jul,1969,USA,N,N,SUMMER
3429,Jun,1969,USA,UNKNOWN,N,SPRING
3431,Jun,1969,USA,N,N,SPRING
3432,May,1969,USA,N,N,SPRING
3433,May,1969,USA,N,N,SPRING
3435,May,1969,AUSTRALIA,N,S,FALL
3436,Apr,1969,AUSTRALIA,UNKNOWN,S,FALL
3437,Aug,1969,USA,N,N,SUMMER
3438,Mar,1969,AUSTRALIA,N,S,SUMMER
3439,Mar,1969,USA,N,N,WINTER
3440,Feb,1969,AUSTRALIA,N,S,SUMMER
3441,Feb,1969,AUSTRALIA,UNKNOWN,S,SUMMER
3442,Jan,1969,AUSTRALIA,N,S,SUMMER
3443,Jan,1969,AUSTRALIA,N,S,SUMMER
3445,Dec,1968,SOUTH AFRICA,UNKNOWN,S,SPRING
3446,Dec,1968,AUSTRALIA,N,S,SPRING
3447,Dec,1968,NEW ZEALAND,N,S,SPRING
3448,Dec,1968,AUSTRALIA,N,S,SPRING
3449,Dec,1968,SOUTH AFRICA,N,S,SPRING
3450,Dec,1968,SOUTH AFRICA,UNKNOWN,S,SPRING
3451,Nov,1968,SOUTH AFRICA,N,S,SPRING
3453,Nov,1968,AUSTRALIA,N,S,SPRING
3455,Oct,1968,USA,N,N,FALL
3457,Sep,1968,USA,UNKNOWN,N,SUMMER
3458,Sep,1968,NEW ZEALAND,Y,S,WINTER
3459,Aug,1968,USA,N,N,SUMMER
3460,Aug,1968,USA,N,N,SUMMER
